Namespace(active_random=0, batch_size=100, batch_size_test=10, dataset='mini_imagenet', dataset_root='datasets', dec_lr=15000, decay_interval=10000, exp_name='minimagenet_N5_S5', iterations=8000, log_interval=20, lr=0.001, metric_network='gnn_iclr_nl', momentum=0.5, no_cuda=False, save_interval=300000, seed=1, test_N_shots=1, test_N_way=5, test_interval=2000, test_samples=30000, train_N_shots=1, train_N_way=5, unlabeled_extra=0)
Using GPU : 0 from 4 devices
Batch size: 100
Initiallize new Network Weights for enc_nn
Initiallize new Network Weights for metric_nn
EmbeddingImagenet(
  (conv1): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(64, 96, kernel_size=(3, 3), stride=(1, 1), bias=False)
  (bn2): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(96, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop_3): Dropout2d(p=0.4)
  (conv4): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn4): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop_4): Dropout2d(p=0.5)
  (fc1): Linear(in_features=6400, out_features=128, bias=True)
  (bn_fc): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
MetricNN(
  (gnn_obj): GNN_nl(
    (layer_w0): Wcompute(
      (conv2d_1): Conv2d(133, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_l0): Gconv(
      (fc): Linear(in_features=266, out_features=48, bias=True)
      (bn): BatchNorm1d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (layer_w1): Wcompute(
      (conv2d_1): Conv2d(181, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_l1): Gconv(
      (fc): Linear(in_features=362, out_features=48, bias=True)
      (bn): BatchNorm1d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (w_comp_last): Wcompute(
      (conv2d_1): Conv2d(229, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_last): Gconv(
      (fc): Linear(in_features=458, out_features=5, bias=True)
    )
  )
)
Train Iter: 0	Loss_d_metric: 1.607520
Train Iter: 1800	Loss_d_metric: 1.443042
Train Iter: 1820	Loss_d_metric: 1.418155
Train Iter: 1840	Loss_d_metric: 1.424130
Train Iter: 1860	Loss_d_metric: 1.445814
Train Iter: 1880	Loss_d_metric: 1.431313
Train Iter: 1900	Loss_d_metric: 1.424865
Train Iter: 1920	Loss_d_metric: 1.435415
Train Iter: 1940	Loss_d_metric: 1.434350
Train Iter: 1960	Loss_d_metric: 1.416369
Train Iter: 1980	Loss_d_metric: 1.421099

**** TESTING WITH val ***
356 correct from 1000 	Accuracy: 35.600%)
717 correct from 2000 	Accuracy: 35.850%)
1105 correct from 3000 	Accuracy: 36.833%)
1446 correct from 4000 	Accuracy: 36.150%)
1820 correct from 5000 	Accuracy: 36.400%)
2187 correct from 6000 	Accuracy: 36.450%)
2524 correct from 7000 	Accuracy: 36.057%)
2895 correct from 8000 	Accuracy: 36.188%)
3270 correct from 9000 	Accuracy: 36.333%)
3619 correct from 10000 	Accuracy: 36.190%)
3994 correct from 11000 	Accuracy: 36.309%)
4357 correct from 12000 	Accuracy: 36.308%)
4766 correct from 13000 	Accuracy: 36.662%)
5144 correct from 14000 	Accuracy: 36.743%)
5509 correct from 15000 	Accuracy: 36.727%)
5509 correct from 15000 	Accuracy: 36.727%)
*** TEST FINISHED ***


**** TESTING WITH test ***
371 correct from 1000 	Accuracy: 37.100%)
722 correct from 2000 	Accuracy: 36.100%)
1072 correct from 3000 	Accuracy: 35.733%)
1431 correct from 4000 	Accuracy: 35.775%)
1805 correct from 5000 	Accuracy: 36.100%)
2187 correct from 6000 	Accuracy: 36.450%)
2537 correct from 7000 	Accuracy: 36.243%)
2914 correct from 8000 	Accuracy: 36.425%)
3269 correct from 9000 	Accuracy: 36.322%)
3611 correct from 10000 	Accuracy: 36.110%)
3976 correct from 11000 	Accuracy: 36.145%)
4341 correct from 12000 	Accuracy: 36.175%)
4699 correct from 13000 	Accuracy: 36.146%)
5047 correct from 14000 	Accuracy: 36.050%)
5405 correct from 15000 	Accuracy: 36.033%)
5405 correct from 15000 	Accuracy: 36.033%)
*** TEST FINISHED ***


**** TESTING WITH train ***
452 correct from 1000 	Accuracy: 45.200%)
865 correct from 2000 	Accuracy: 43.250%)
1297 correct from 3000 	Accuracy: 43.233%)
1297 correct from 3000 	Accuracy: 43.233%)
*** TEST FINISHED ***

Best test accuracy 36.0333 

Train Iter: 2000	Loss_d_metric: 1.400731
Train Iter: 2020	Loss_d_metric: 1.409375
Train Iter: 2040	Loss_d_metric: 1.437557
Train Iter: 2060	Loss_d_metric: 1.404749
Train Iter: 2080	Loss_d_metric: 1.418057
Train Iter: 2100	Loss_d_metric: 1.441843
Train Iter: 2120	Loss_d_metric: 1.416013
Train Iter: 2140	Loss_d_metric: 1.408154
Train Iter: 2160	Loss_d_metric: 1.410560
Train Iter: 2180	Loss_d_metric: 1.410195
Train Iter: 2200	Loss_d_metric: 1.417496
Train Iter: 2220	Loss_d_metric: 1.412259
Train Iter: 2240	Loss_d_metric: 1.377104
Train Iter: 2260	Loss_d_metric: 1.392405
Train Iter: 2280	Loss_d_metric: 1.373744
Train Iter: 2300	Loss_d_metric: 1.398451
Train Iter: 2320	Loss_d_metric: 1.386227
Train Iter: 2340	Loss_d_metric: 1.364831
Train Iter: 2360	Loss_d_metric: 1.389661
Train Iter: 2380	Loss_d_metric: 1.383705
Train Iter: 2400	Loss_d_metric: 1.375928
Train Iter: 2420	Loss_d_metric: 1.400304
Train Iter: 2440	Loss_d_metric: 1.354674
Train Iter: 2460	Loss_d_metric: 1.382539
Train Iter: 2480	Loss_d_metric: 1.332645
Train Iter: 2500	Loss_d_metric: 1.359368
Train Iter: 2520	Loss_d_metric: 1.362896
Train Iter: 2540	Loss_d_metric: 1.363839
Train Iter: 2560	Loss_d_metric: 1.360306
Train Iter: 2580	Loss_d_metric: 1.357385
Train Iter: 2600	Loss_d_metric: 1.356714
Train Iter: 2620	Loss_d_metric: 1.379075
Train Iter: 2640	Loss_d_metric: 1.339703
Train Iter: 2660	Loss_d_metric: 1.354485
Train Iter: 2680	Loss_d_metric: 1.382080
Train Iter: 2700	Loss_d_metric: 1.335460
Train Iter: 2720	Loss_d_metric: 1.369322
Train Iter: 2740	Loss_d_metric: 1.358900
Train Iter: 2760	Loss_d_metric: 1.368578
Train Iter: 2780	Loss_d_metric: 1.339458
Train Iter: 2800	Loss_d_metric: 1.347206
Train Iter: 2820	Loss_d_metric: 1.336510
Train Iter: 2840	Loss_d_metric: 1.335350
Train Iter: 2860	Loss_d_metric: 1.320488
Train Iter: 2880	Loss_d_metric: 1.353998
Train Iter: 2900	Loss_d_metric: 1.324075
Train Iter: 2920	Loss_d_metric: 1.348862
Train Iter: 2940	Loss_d_metric: 1.343413
Train Iter: 2960	Loss_d_metric: 1.346856
Train Iter: 2980	Loss_d_metric: 1.375183
Train Iter: 3000	Loss_d_metric: 1.324610
Train Iter: 3020	Loss_d_metric: 1.315864
Train Iter: 3040	Loss_d_metric: 1.334085
Train Iter: 3060	Loss_d_metric: 1.334904
Train Iter: 3080	Loss_d_metric: 1.322650
Train Iter: 3100	Loss_d_metric: 1.325248
Train Iter: 3120	Loss_d_metric: 1.303755
Train Iter: 3140	Loss_d_metric: 1.327955
Train Iter: 3160	Loss_d_metric: 1.318512
Train Iter: 3180	Loss_d_metric: 1.301807
Train Iter: 3200	Loss_d_metric: 1.322777
Train Iter: 3220	Loss_d_metric: 1.291473
Train Iter: 3240	Loss_d_metric: 1.319075
Train Iter: 3260	Loss_d_metric: 1.337430
Train Iter: 3280	Loss_d_metric: 1.337715
Train Iter: 3300	Loss_d_metric: 1.296298
Train Iter: 3320	Loss_d_metric: 1.310685
Train Iter: 3340	Loss_d_metric: 1.272019
Train Iter: 3360	Loss_d_metric: 1.287921
Train Iter: 3380	Loss_d_metric: 1.328520
Train Iter: 3400	Loss_d_metric: 1.295711
Train Iter: 3420	Loss_d_metric: 1.322449
Train Iter: 3440	Loss_d_metric: 1.330698
Train Iter: 3460	Loss_d_metric: 1.293355
Train Iter: 3480	Loss_d_metric: 1.285940
Train Iter: 3500	Loss_d_metric: 1.306927
Train Iter: 3520	Loss_d_metric: 1.289496
Train Iter: 3540	Loss_d_metric: 1.314929
Train Iter: 3560	Loss_d_metric: 1.284083
Train Iter: 3580	Loss_d_metric: 1.330773
Train Iter: 3600	Loss_d_metric: 1.269935
Train Iter: 3620	Loss_d_metric: 1.291245
Train Iter: 3640	Loss_d_metric: 1.307946
Train Iter: 3660	Loss_d_metric: 1.290934
Train Iter: 3680	Loss_d_metric: 1.276231
Train Iter: 3700	Loss_d_metric: 1.280724
Train Iter: 3720	Loss_d_metric: 1.272058
Train Iter: 3740	Loss_d_metric: 1.298936
Train Iter: 3760	Loss_d_metric: 1.269599
Train Iter: 3780	Loss_d_metric: 1.281014
Train Iter: 3800	Loss_d_metric: 1.262720
Train Iter: 3820	Loss_d_metric: 1.278500
Train Iter: 3840	Loss_d_metric: 1.275959
Train Iter: 3860	Loss_d_metric: 1.257450
Train Iter: 3880	Loss_d_metric: 1.255091
Train Iter: 3900	Loss_d_metric: 1.271364
Train Iter: 3920	Loss_d_metric: 1.265329
Train Iter: 3940	Loss_d_metric: 1.277383
Train Iter: 3960	Loss_d_metric: 1.255274
Train Iter: 3980	Loss_d_metric: 1.287702

**** TESTING WITH val ***
407 correct from 1000 	Accuracy: 40.700%)
812 correct from 2000 	Accuracy: 40.600%)
1227 correct from 3000 	Accuracy: 40.900%)
1631 correct from 4000 	Accuracy: 40.775%)
2034 correct from 5000 	Accuracy: 40.680%)
2430 correct from 6000 	Accuracy: 40.500%)
2847 correct from 7000 	Accuracy: 40.671%)
3275 correct from 8000 	Accuracy: 40.938%)
3687 correct from 9000 	Accuracy: 40.967%)
4114 correct from 10000 	Accuracy: 41.140%)
4510 correct from 11000 	Accuracy: 41.000%)
4916 correct from 12000 	Accuracy: 40.967%)
5297 correct from 13000 	Accuracy: 40.746%)
5733 correct from 14000 	Accuracy: 40.950%)
6145 correct from 15000 	Accuracy: 40.967%)
6145 correct from 15000 	Accuracy: 40.967%)
*** TEST FINISHED ***


**** TESTING WITH test ***
429 correct from 1000 	Accuracy: 42.900%)
839 correct from 2000 	Accuracy: 41.950%)
1246 correct from 3000 	Accuracy: 41.533%)
1685 correct from 4000 	Accuracy: 42.125%)
2107 correct from 5000 	Accuracy: 42.140%)
2554 correct from 6000 	Accuracy: 42.567%)
2978 correct from 7000 	Accuracy: 42.543%)
3386 correct from 8000 	Accuracy: 42.325%)
3815 correct from 9000 	Accuracy: 42.389%)
4232 correct from 10000 	Accuracy: 42.320%)
4635 correct from 11000 	Accuracy: 42.136%)
5087 correct from 12000 	Accuracy: 42.392%)
5511 correct from 13000 	Accuracy: 42.392%)
5939 correct from 14000 	Accuracy: 42.421%)
6378 correct from 15000 	Accuracy: 42.520%)
6378 correct from 15000 	Accuracy: 42.520%)
*** TEST FINISHED ***


**** TESTING WITH train ***
518 correct from 1000 	Accuracy: 51.800%)
1031 correct from 2000 	Accuracy: 51.550%)
1541 correct from 3000 	Accuracy: 51.367%)
1541 correct from 3000 	Accuracy: 51.367%)
*** TEST FINISHED ***

Best test accuracy 42.5200 

Train Iter: 4000	Loss_d_metric: 1.272329
Train Iter: 4020	Loss_d_metric: 1.249449
Train Iter: 4040	Loss_d_metric: 1.268433
Train Iter: 4060	Loss_d_metric: 1.286449
Train Iter: 4080	Loss_d_metric: 1.253146
Train Iter: 4100	Loss_d_metric: 1.252868
Train Iter: 4120	Loss_d_metric: 1.280077
Train Iter: 4140	Loss_d_metric: 1.259945
Train Iter: 4160	Loss_d_metric: 1.248831
Train Iter: 4180	Loss_d_metric: 1.273747
Train Iter: 4200	Loss_d_metric: 1.269424
Train Iter: 4220	Loss_d_metric: 1.257541
Train Iter: 4240	Loss_d_metric: 1.246624
Train Iter: 4260	Loss_d_metric: 1.242874
Train Iter: 4280	Loss_d_metric: 1.244249
Train Iter: 4300	Loss_d_metric: 1.265858
Train Iter: 4320	Loss_d_metric: 1.271747
Train Iter: 4340	Loss_d_metric: 1.254617
Train Iter: 4360	Loss_d_metric: 1.212966
Train Iter: 4380	Loss_d_metric: 1.258343
Train Iter: 4400	Loss_d_metric: 1.257250
Train Iter: 4420	Loss_d_metric: 1.200061
Train Iter: 4440	Loss_d_metric: 1.213243
Train Iter: 4460	Loss_d_metric: 1.237923
Train Iter: 4480	Loss_d_metric: 1.264544
Train Iter: 4500	Loss_d_metric: 1.233461
Train Iter: 4520	Loss_d_metric: 1.209060
Train Iter: 4540	Loss_d_metric: 1.256861
Train Iter: 4560	Loss_d_metric: 1.215232
Train Iter: 4580	Loss_d_metric: 1.242227
Train Iter: 4600	Loss_d_metric: 1.232654
Train Iter: 4620	Loss_d_metric: 1.217607
Train Iter: 4640	Loss_d_metric: 1.262365
Train Iter: 4660	Loss_d_metric: 1.244363
Train Iter: 4680	Loss_d_metric: 1.226032
Train Iter: 4700	Loss_d_metric: 1.226865
Train Iter: 4720	Loss_d_metric: 1.223143
Train Iter: 4740	Loss_d_metric: 1.184559
Train Iter: 4760	Loss_d_metric: 1.242947
Train Iter: 4780	Loss_d_metric: 1.221955
Train Iter: 4800	Loss_d_metric: 1.245166
Train Iter: 4820	Loss_d_metric: 1.214695
Train Iter: 4840	Loss_d_metric: 1.245003
Train Iter: 4860	Loss_d_metric: 1.234162
Train Iter: 4880	Loss_d_metric: 1.217104
Train Iter: 4900	Loss_d_metric: 1.189937
Train Iter: 4920	Loss_d_metric: 1.222330
Train Iter: 4940	Loss_d_metric: 1.204200
Train Iter: 4960	Loss_d_metric: 1.202615
Train Iter: 4980	Loss_d_metric: 1.202585
Train Iter: 5000	Loss_d_metric: 1.189459
Train Iter: 5020	Loss_d_metric: 1.216920
Train Iter: 5040	Loss_d_metric: 1.211039
Train Iter: 5060	Loss_d_metric: 1.209062
Train Iter: 5080	Loss_d_metric: 1.230692
Train Iter: 5100	Loss_d_metric: 1.201789
Train Iter: 5120	Loss_d_metric: 1.220996
Train Iter: 5140	Loss_d_metric: 1.199919
Train Iter: 5160	Loss_d_metric: 1.208077
Train Iter: 5180	Loss_d_metric: 1.202391
Train Iter: 5200	Loss_d_metric: 1.213271
Train Iter: 5220	Loss_d_metric: 1.143160
Train Iter: 5240	Loss_d_metric: 1.190736
Train Iter: 5260	Loss_d_metric: 1.210133
Train Iter: 5280	Loss_d_metric: 1.176745
Train Iter: 5300	Loss_d_metric: 1.178219
Train Iter: 5320	Loss_d_metric: 1.169197
Train Iter: 5340	Loss_d_metric: 1.186838
Train Iter: 5360	Loss_d_metric: 1.202896
Train Iter: 5380	Loss_d_metric: 1.195519
Train Iter: 5400	Loss_d_metric: 1.182881
Train Iter: 5420	Loss_d_metric: 1.180465
Train Iter: 5440	Loss_d_metric: 1.175837
Train Iter: 5460	Loss_d_metric: 1.188377
Train Iter: 5480	Loss_d_metric: 1.187426
Train Iter: 5500	Loss_d_metric: 1.190919
Train Iter: 5520	Loss_d_metric: 1.176302
Train Iter: 5540	Loss_d_metric: 1.209577
Train Iter: 5560	Loss_d_metric: 1.201694
Train Iter: 5580	Loss_d_metric: 1.185056
Train Iter: 5600	Loss_d_metric: 1.176977
Train Iter: 5620	Loss_d_metric: 1.165734
Train Iter: 5640	Loss_d_metric: 1.173372
Train Iter: 5660	Loss_d_metric: 1.199520
Train Iter: 5680	Loss_d_metric: 1.215641
Train Iter: 5700	Loss_d_metric: 1.179883
Train Iter: 5720	Loss_d_metric: 1.177540
Train Iter: 5740	Loss_d_metric: 1.178514
Train Iter: 5760	Loss_d_metric: 1.208735
Train Iter: 5780	Loss_d_metric: 1.173926
Train Iter: 5800	Loss_d_metric: 1.143911
